Year,Season_type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
2020-21,Playoffs,1629029,1,Luka Doncic,1610612742,DAL,7,40.1,13.7,28.0,0.49,4.4,10.9,0.408,3.9,7.3,0.529,0.6,7.3,7.9,10.3,1.3,0.4,4.6,35.7,33.3
2020-21,Playoffs,203081,2,Damian Lillard,1610612757,POR,6,41.3,10.3,22.3,0.463,5.8,13.0,0.449,7.8,8.3,0.94,0.2,4.2,4.3,10.2,1.0,0.7,2.2,34.3,35.8
2020-21,Playoffs,201142,3,Kevin Durant,1610612751,BKN,12,40.4,12.1,23.5,0.514,2.8,6.8,0.402,7.3,8.4,0.871,0.4,8.8,9.3,4.4,1.5,1.6,3.5,34.3,35.0
2020-21,Playoffs,1628378,4,Donovan Mitchell,1610612762,UTA,10,34.6,10.5,23.5,0.447,5.0,11.5,0.435,6.3,7.6,0.829,0.3,3.9,4.2,5.5,1.1,0.2,2.8,32.3,26.2
2020-21,Playoffs,1628369,5,Jayson Tatum,1610612738,BOS,5,37.0,9.4,22.2,0.423,2.8,7.2,0.389,9.0,9.8,0.918,0.6,5.2,5.8,4.6,1.2,1.6,2.6,30.6,27.6
2020-21,Playoffs,1629630,6,Ja Morant,1610612763,MEM,5,40.6,11.0,22.6,0.487,2.0,6.2,0.323,6.2,8.0,0.775,1.4,3.4,4.8,8.2,0.4,0.0,3.4,30.2,26.8
2020-21,Playoffs,203507,7,Giannis Antetokounmpo,1610612749,MIL,21,38.1,11.9,20.9,0.569,0.6,3.3,0.186,5.8,9.8,0.587,2.8,10.0,12.8,5.1,1.0,1.2,3.0,30.2,34.2
2020-21,Playoffs,203078,8,Bradley Beal,1610612764,WAS,5,39.0,11.2,24.6,0.455,1.4,6.4,0.219,6.2,7.2,0.861,1.2,5.0,6.2,4.2,0.8,0.6,4.0,30.0,23.4
2020-21,Playoffs,203999,9,Nikola Jokic,1610612743,DEN,10,34.5,11.6,22.8,0.509,2.0,5.3,0.377,4.6,5.5,0.836,3.7,7.9,11.6,5.0,0.6,0.9,2.4,29.8,33.4
2020-21,Playoffs,1629027,10,Trae Young,1610612737,ATL,16,37.7,9.4,22.4,0.418,2.8,9.0,0.313,7.3,8.4,0.866,0.4,2.4,2.8,9.5,1.3,0.0,4.0,28.8,24.2
2020-21,Playoffs,203954,11,Joel Embiid,1610612755,PHI,11,32.5,9.2,17.9,0.513,1.5,3.7,0.39,8.3,9.9,0.835,1.5,9.1,10.5,3.4,1.0,1.5,3.8,28.1,30.3
2020-21,Playoffs,1626164,12,Devin Booker,1610612756,PHX,22,40.4,9.6,21.5,0.447,2.0,6.2,0.321,6.0,6.7,0.905,0.7,5.0,5.6,4.5,0.8,0.2,3.7,27.3,22.3
2020-21,Playoffs,202331,13,Paul George,1610612746,LAC,19,40.8,8.7,19.7,0.441,2.7,8.0,0.336,6.8,8.1,0.844,0.9,8.7,9.6,5.4,1.0,0.5,3.5,26.9,27.6
2020-21,Playoffs,1628415,14,Dillon Brooks,1610612763,MEM,5,35.0,10.0,19.4,0.515,1.6,4.0,0.4,4.2,5.2,0.808,1.0,3.2,4.2,2.2,1.4,0.4,1.8,25.8,21.8
2020-21,Playoffs,203114,15,Khris Middleton,1610612749,MIL,23,40.1,8.6,19.7,0.438,2.6,7.6,0.343,3.7,4.2,0.887,1.1,6.5,7.6,5.1,1.5,0.2,3.2,23.6,23.2
2020-21,Playoffs,2544,16,LeBron James,1610612747,LAL,6,37.3,9.0,19.0,0.474,3.0,8.0,0.375,2.3,3.8,0.609,1.2,6.0,7.2,8.0,1.5,0.3,4.2,23.3,24.7
2020-21,Playoffs,202681,17,Kyrie Irving,1610612751,BKN,9,36.1,8.6,18.1,0.472,2.7,7.2,0.369,2.9,3.1,0.929,1.3,4.4,5.8,3.4,1.0,0.6,1.2,22.7,22.4
2020-21,Playoffs,202699,18,Tobias Harris,1610612755,PHI,12,36.5,8.8,17.9,0.488,1.3,3.6,0.372,2.9,3.3,0.875,0.8,7.7,8.5,3.5,1.0,0.4,1.5,21.8,24.1
2020-21,Playoffs,203468,19,CJ McCollum,1610612757,POR,6,40.0,8.3,19.0,0.439,2.3,7.0,0.333,1.7,2.2,0.769,1.0,5.0,6.0,4.3,0.3,0.7,2.0,20.7,18.8
2020-21,Playoffs,201935,20,James Harden,1610612751,BKN,9,35.8,5.7,12.0,0.472,2.7,7.3,0.364,6.2,6.9,0.903,0.8,5.6,6.3,8.6,1.7,0.7,2.9,20.2,27.6
2020-21,Playoffs,201565,21,Derrick Rose,1610612752,NYK,5,35.0,8.0,16.8,0.476,1.6,3.4,0.471,1.8,1.8,1.0,0.8,3.2,4.0,5.0,0.4,0.2,1.6,19.4,18.6
2020-21,Playoffs,101108,22,Chris Paul,1610612756,PHX,20,34.2,7.5,15.0,0.497,1.5,3.3,0.446,2.9,3.3,0.877,0.5,3.1,3.5,8.6,1.2,0.2,2.2,19.2,22.5
2020-21,Playoffs,201566,23,Russell Westbrook,1610612764,WAS,5,37.2,5.6,16.8,0.333,1.0,4.0,0.25,6.8,8.6,0.791,2.8,7.6,10.4,11.8,0.4,0.2,4.2,19.0,24.6
2020-21,Playoffs,203552,24,Seth Curry,1610612755,PHI,12,31.8,7.1,12.3,0.578,3.4,6.8,0.506,1.3,1.6,0.789,0.3,2.0,2.3,2.3,0.8,0.3,0.8,18.8,18.2
2020-21,Playoffs,202711,25,Bojan Bogdanovic,1610612762,UTA,11,35.5,5.8,12.5,0.467,3.2,6.9,0.461,3.3,3.7,0.878,0.5,3.7,4.3,1.5,0.9,0.0,2.1,18.1,15.5
2020-21,Playoffs,203944,26,Julius Randle,1610612752,NYK,5,36.0,5.6,18.8,0.298,2.2,6.6,0.333,4.6,5.4,0.852,2.2,9.4,11.6,4.0,0.6,0.0,4.6,18.0,15.6
2020-21,Playoffs,203935,27,Marcus Smart,1610612738,BOS,5,36.6,5.8,13.2,0.439,3.2,8.6,0.372,3.0,4.2,0.714,0.8,3.6,4.4,6.0,1.0,0.2,2.8,17.8,18.0
2020-21,Playoffs,202704,28,Reggie Jackson,1610612746,LAC,19,32.7,6.4,13.3,0.484,3.1,7.5,0.408,1.9,2.2,0.878,0.4,2.8,3.2,3.4,0.9,0.2,1.5,17.8,16.9
2020-21,Playoffs,203903,29,Jordan Clarkson,1610612762,UTA,11,27.1,6.1,15.0,0.406,3.1,8.8,0.351,2.3,2.4,0.962,0.5,2.5,3.1,1.5,0.6,0.3,2.1,17.5,12.0
2020-21,Playoffs,203076,30,Anthony Davis,1610612747,LAL,5,28.8,5.0,12.4,0.403,0.4,2.2,0.182,7.0,8.4,0.833,1.4,5.2,6.6,2.6,0.6,1.6,1.2,17.4,18.8
2020-21,Playoffs,1629008,30,Michael Porter Jr.,1610612743,DEN,10,33.2,6.4,13.5,0.474,2.9,7.3,0.397,1.7,2.1,0.81,1.2,5.0,6.2,1.3,1.1,0.3,1.6,17.4,17.2
2020-21,Playoffs,201950,32,Jrue Holiday,1610612749,MIL,23,39.7,6.9,16.9,0.406,1.9,6.2,0.303,1.7,2.4,0.714,1.4,4.3,5.7,8.7,1.7,0.4,2.4,17.3,20.7
2020-21,Playoffs,1626181,33,Norman Powell,1610612757,POR,6,36.0,6.3,12.7,0.5,1.7,4.3,0.385,2.7,3.0,0.889,0.5,1.7,2.2,2.0,0.8,1.0,1.2,17.0,15.2
2020-21,Playoffs,203501,33,Tim Hardaway Jr.,1610612742,DAL,7,37.4,6.0,14.4,0.416,3.3,8.1,0.404,1.7,2.3,0.75,0.7,2.6,3.3,1.4,0.4,0.0,0.9,17.0,12.3
2020-21,Playoffs,201609,35,Goran Dragic,1610612748,MIA,4,29.3,5.8,13.5,0.426,2.3,6.5,0.346,2.3,3.0,0.75,0.3,1.5,1.8,2.8,1.0,0.5,1.5,16.0,12.0
2020-21,Playoffs,1629028,36,Deandre Ayton,1610612756,PHX,22,36.4,7.0,10.6,0.658,0.0,0.0,0.0,1.8,2.4,0.736,3.0,8.8,11.8,1.1,0.8,1.1,1.3,15.8,25.1
2020-21,Playoffs,1628389,37,Bam Adebayo,1610612748,MIA,4,34.0,6.5,14.3,0.456,0.0,0.0,0.0,2.5,3.3,0.769,3.5,5.8,9.3,4.3,1.3,0.5,2.8,15.5,19.5
2020-21,Playoffs,203095,38,Evan Fournier,1610612738,BOS,5,33.4,5.4,12.6,0.429,2.6,6.0,0.433,2.0,2.4,0.833,1.0,2.6,3.6,1.4,1.2,0.0,1.0,15.4,13.0
2020-21,Playoffs,202685,39,Jonas Valanciunas,1610612763,MEM,5,33.2,6.6,11.6,0.569,0.4,1.6,0.25,1.4,1.6,0.875,4.0,5.8,9.8,2.6,0.6,0.6,2.0,15.0,21.4
2020-21,Playoffs,1629060,40,Rui Hachimura,1610612764,WAS,5,34.6,5.8,9.4,0.617,1.8,3.0,0.6,1.4,2.4,0.583,1.0,6.2,7.2,1.0,0.4,0.2,1.0,14.8,18.0
