MIN,FGM,FGA,FTM,FTA,EFF,TOV,AST,FG3A,FG3M,DREB
19.5,3.4,7.4,0.6,0.7,8.2,0.6,1.0,3.6,1.4,1.6
31.133,5.867,10.7,2.5,3.8,18.067,1.533,3.0,2.633,0.867,4.133
15.925,2.225,5.2,0.75,0.925,6.2,0.85,1.875,2.15,0.825,1.2
26.3,3.95,8.45,1.55,1.9,11.9,0.95,1.4,4.45,1.75,2.9
17.1,2.7,5.0,0.75,0.95,8.35,0.75,1.1,1.65,0.75,1.8
28.8,3.6,7.4,0.6,0.733,16.2,0.733,3.0,4.333,1.767,5.4
23.5,3.35,8.8,2.45,2.9,10.95,0.9,2.15,4.9,1.9,3.1
20.2,3.0,7.5,0.6,0.8,10.0,1.5,2.1,3.2,0.9,4.0
24.4,2.6,5.733,0.9,1.267,10.967,1.267,3.067,3.133,1.2,2.567
15.3,2.7,4.3,1.1,1.8,9.5,0.9,0.8,0.4,0.1,2.8
27.367,5.933,11.2,2.967,4.2,19.867,2.4,3.833,1.4,0.4,5.233
22.4,3.9,7.2,1.7,2.5,15.1,1.5,2.6,0.9,0.1,4.2
21.8,2.75,5.9,1.2,1.35,8.55,0.6,1.45,3.15,1.2,2.1
16.5,3.1,5.367,1.267,2.3,13.667,1.233,0.933,0.0,0.0,5.467
21.3,1.5,3.9,0.4,0.6,7.9,1.1,2.3,2.9,1.0,2.9
26.35,3.8,8.15,0.7,0.8,11.0,1.6,4.3,3.0,1.05,1.85
30.733,6.2,13.3,2.133,3.1,15.133,1.5,2.1,4.767,1.833,3.333
26.15,5.05,11.6,1.65,1.9,12.15,1.4,2.75,6.75,2.65,2.15
16.9,1.7,3.6,0.7,1.2,5.6,0.8,1.3,1.4,0.5,1.5
35.5,9.4,16.9,5.5,6.8,33.5,2.1,3.5,1.4,0.4,9.5
34.375,8.15,18.325,3.85,4.85,20.025,2.8,4.05,7.4,2.625,4.425
19.3,2.4,5.1,0.7,1.0,8.7,0.9,1.5,3.2,1.2,2.6
18.5,2.5,5.7,0.5,0.8,8.6,0.9,0.9,1.9,0.5,3.5
25.1,3.7,7.6,1.1,1.9,13.1,1.3,1.9,1.8,0.3,4.3
28.033,4.0,8.133,2.667,3.1,14.0,1.433,3.567,3.733,1.367,2.833
22.1,2.2,5.2,0.5,0.7,5.9,0.8,1.3,3.4,1.2,1.4
22.7,2.4,5.6,0.3,0.3,6.4,0.6,0.8,3.4,1.3,1.7
27.567,3.933,7.833,0.867,1.133,11.4,1.333,3.033,2.9,1.067,2.233
34.033,7.533,13.9,4.267,5.467,25.2,2.467,4.167,0.3,0.067,7.167
18.6,2.95,7.65,0.9,1.2,6.45,0.85,0.8,5.9,2.1,1.5
32.4,5.6,10.1,3.0,4.9,21.3,3.0,6.9,0.2,0.1,5.6
27.3,5.15,11.7,3.95,4.8,13.0,1.75,1.75,3.8,1.35,2.95
27.2,3.0,6.9,1.5,2.1,10.0,1.4,1.7,2.9,1.0,3.2
17.35,2.1,3.55,0.55,1.35,8.8,0.95,1.05,0.0,0.0,3.0
14.4,1.7,3.5,0.9,1.3,6.1,0.9,2.7,0.9,0.2,1.2
24.875,5.475,10.975,1.15,1.5,17.25,1.1,1.275,3.45,1.375,6.225
29.85,5.7,13.25,1.7,1.95,15.15,1.25,3.1,7.7,2.85,3.15
31.267,6.333,13.7,3.633,4.2,15.733,1.933,2.067,6.4,2.533,3.3
21.5,3.7,6.8,1.2,1.5,12.4,1.6,1.0,1.6,0.4,4.8
19.0,3.3,8.3,1.6,1.8,10.0,1.2,2.8,5.2,1.9,2.5
17.3,1.9,4.9,1.5,1.7,6.6,1.2,2.9,1.4,0.3,1.4
35.8,11.2,23.0,6.8,7.7,26.1,3.1,4.4,6.2,2.2,3.5
26.6,3.7,8.1,0.7,1.1,13.7,1.2,3.7,3.2,1.2,4.2
21.75,4.4,7.7,1.3,1.95,14.6,0.55,1.45,0.8,0.2,3.55
33.6,8.1,16.95,4.2,5.0,21.7,2.5,5.3,4.95,1.8,4.35
32.2,6.4,14.6,1.9,2.3,15.0,1.8,2.4,6.7,2.5,3.4
29.367,5.1,10.067,1.667,2.033,16.567,1.1,1.2,4.6,1.667,3.967
25.8,3.95,7.875,1.45,1.9,13.15,1.1,2.5,1.95,0.675,3.45
14.9,1.7,3.9,1.1,1.4,5.2,0.5,0.9,1.7,0.6,1.4
18.2,3.35,7.4,0.9,1.05,7.15,0.65,0.8,4.4,1.9,1.25
30.475,5.375,12.675,1.125,1.35,14.775,1.65,3.0,8.575,3.35,3.625
20.2,2.1,5.3,1.0,1.4,7.6,1.0,1.5,2.2,0.6,2.8
34.2,7.9,17.567,2.0,2.667,19.7,2.033,5.133,7.733,3.1,3.6
33.05,7.6,17.45,3.0,3.5,19.15,3.55,6.55,5.55,1.85,4.2
13.8,1.4,3.5,0.4,0.4,4.0,0.3,0.5,3.3,1.2,0.9
23.775,3.175,7.0,1.125,1.475,10.025,0.95,1.55,2.975,1.05,2.9
24.5,5.65,12.75,2.8,3.35,12.1,1.35,2.05,4.3,1.45,2.5
25.933,4.133,9.333,1.267,1.533,12.3,0.8,1.767,5.867,2.3,3.233
18.9,3.333,7.633,0.933,1.1,10.1,1.2,3.7,3.267,1.233,1.967
29.9,5.3,12.267,2.2,2.9,14.667,1.733,4.433,4.567,1.567,3.167
25.25,4.65,10.9,1.95,2.25,12.2,0.9,1.25,5.25,2.05,2.95
20.6,2.6,5.4,0.4,0.5,8.6,0.5,1.5,2.9,1.2,1.6
21.375,3.275,7.7,1.025,1.425,8.825,0.95,2.025,4.525,1.575,2.2
29.4,6.2,11.6,2.7,3.4,22.1,1.6,2.4,4.3,1.6,6.3
15.85,2.7,5.4,1.0,1.3,9.2,0.75,0.8,1.85,0.55,3.65
